title;category;link;
??????????? ?????????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/;
??????????? ??????????? ???/?????????????? ????????????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/registration;
??????????? ?????????? ???;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/registration-fl;
??????????? ?????????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/;
??????????? ??????????? ???/?????????????? ????????????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/registration;
??????????? ?????????? ???;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/registration-fl;
??????????? ??????????? ????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account;
??? ?????? VK ID;???????????? ?????????????;rustore.ru/help/developers/developer-account/your-vkid;
?????????? ?????????????? ?????????????;???????????? ?????????????;rustore.ru/help/developers/developer-account/add-developer;
?????????? ????????????? ? ????? ????;???????????? ?????????????;rustore.ru/help/developers/developer-account/user-roles;
?????????? ? ???????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/;
?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/;
??? ????????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/how-to-declare-permissions;
????????? ? ???? ??????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/data-categories;
???? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/permission-types;
?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/;
??? ????????? ????? ?????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/new-version-app;
?????????? ?????????? ??? ?????????? ??;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/adding-an-app-for-a-tv-device;
????????? ?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication;
?????????????? ? ?????? ?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/instant-app-publishing;
?????????? ?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/delayed-publication;
????????? ?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/step-by-step-publication;
??? ???????? ? ??????? ??????? APK-??????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/apk-signature;
??? ??????? ???????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/card-delete;
???????? ?????????? ? ??????? ???;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/upload-aab;
??? ??????? ?????? ??? ?????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/choose-region;
???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/testing;
?????????? ?? ???????? ??? ?? ??????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/;
?????????? ???????????? ??? ?? ??????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/dev-certificate/;
????????? ?????-??????? ?? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/dev-certificate/generate-csr;
??????? ??????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/paid-app;
?????????? ? ???????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/requirement-apps;
???????????? ?? ASO;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/aso-recommendations;
?????????? ???????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/age-restrictions;
?????????? ?? ?????????? ?????????? ??? RuStore;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/category;
?????? ? ???????? ? ???????? ?????????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/responses-to-reviews;
?????? ? ??????????? ????????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/dealing-negative-reviews;
Google Chrome ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/google-chrome;
Mozilla Firefox ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/firefox;
Safari ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/safari;
Opera ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/opera;
Microsoft Edge ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/microsoft-edge;
Internet Explorer ??? ??????? HAR-????;???????????? ?????????????;rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/internet-explorer;
??????????? ??? ?????;???????????? ?????????????;rustore.ru/help/developers/monetization/enable-monetization;
??????????? ??? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/monetization-self-employed;
??????????? ??? ????????????;???????????? ?????????????;rustore.ru/help/developers/monetization/monetization-foreign-company;
????? ?? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/monetization-report;
??? ??????? ???????? ?? ??????????;???????????? ?????????????;rustore.ru/help/developers/monetization/create-app-subscription;
??? ??????? ??????? ????? ? ??????????;???????????? ?????????????;rustore.ru/help/developers/monetization/create-paid-product-in-application;
?????????? ?????????;???????????? ?????????????;rustore.ru/help/developers/monetization/manage-payments;
???????? ???????;???????????? ?????????????;rustore.ru/help/developers/monetization/sandbox/;
????????? ????????? ??????;???????????? ?????????????;rustore.ru/help/developers/monetization/sandbox/enable-test-mode;
???????????? ????????;???????????? ?????????????;rustore.ru/help/developers/monetization/sandbox/testing;
?????????? ????????? ??????;???????????? ?????????????;rustore.ru/help/developers/monetization/sandbox/disable-test-mode;
???????? ?????????? ?????;???????????? ?????????????;rustore.ru/help/developers/monetization/sandbox/test-bank-cards;
??????????? ?? ??????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/;
????????? ??????? ??? ????????? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/server-set-up;
????????? ???????? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/enable-notifications;
?????????? ???????? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/disable-notifications;
????????? ?????? ??????? ??? ????????? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/edit-server-name;
?????????? ????? ??????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/update-key;
????????? ???????????;???????????? ?????????????;rustore.ru/help/developers/monetization/payment-callback/notification;
????? ???????? ??? ????????? RuStore;???????????? ?????????????;rustore.ru/help/developers/monetization/without-rustore-app;
??????? ? ???????????;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/;
?????????? ?????? «???????? ?? RuStore»;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/rustore-button;
