title,category,link
Регистрация разработчиков,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/
Регистрация юридических лиц/индивидуальных предпринимателей,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/registration
Регистрация физических лиц,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/registration-fl
Регистрация разработчиков,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/
Регистрация юридических лиц/индивидуальных предпринимателей,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/registration
Регистрация физических лиц,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/registration-fl
Регистрация иностранной компании,Документация разработчиков,rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account
Как узнать VK ID,Документация разработчиков,rustore.ru/help/developers/developer-account/your-vkid
Добавление дополнительных разработчиков,Документация разработчиков,rustore.ru/help/developers/developer-account/add-developer
Добавление пользователей и выбор роли,Документация разработчиков,rustore.ru/help/developers/developer-account/user-roles
Публикация и проверка приложений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/
Декларация разрешений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/
Как декларировать разрешения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/how-to-declare-permissions
Категории и типы данных,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/data-categories
Типы разрешений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/declare-app-permissions/permission-types
Публикация приложений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/
Как загрузить новую версию приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/new-version-app
Добавление приложения для устройства ТВ,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/adding-an-app-for-a-tv-device
Настройка публикации приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication
Автоматическая и ручная публикация приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/instant-app-publishing
Отложенная публикация приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/delayed-publication
Поэтапная публикация приложений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/setting-up-publication/step-by-step-publication
Как работать с ключами подписи APK-файлов,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/apk-signature
Как удалить карточку приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/card-delete
Загрузка приложений в формате ААВ,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/upload-aab
Как выбрать регион для публикации приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/choose-region
Тестирование приложений,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/testing
Публикация пр иложений для ОС Аврора,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/
Сертификат разработчика для ОС Аврора,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/dev-certificate/
Генерация файла-запроса на сертификат,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/app-publication/app-publication-aurora/dev-certificate/generate-csr
Платные приложения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/paid-app
Требования к приложениям,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/requirement-apps
Рекомендации по ASO,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/aso-recommendations
Возрастные ограничения,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/age-restrictions
Инструкция по категориям приложений для RuStore,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/category
Работа с оценками и отзывами пользователей,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/responses-to-reviews
Работа с негативными отзывами,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/dealing-negative-reviews
Google Chrome Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/google-chrome
Mozilla Firefox Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/firefox
Safari Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/safari
Opera Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/opera
Microsoft Edge Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/microsoft-edge
Internet Explorer Как собрать HAR-логи,Документация разработчиков,rustore.ru/help/developers/publishing-and-verifying-apps/collect-har-logs/internet-explorer
Монетизация для юрлиц,Документация разработчиков,rustore.ru/help/developers/monetization/enable-monetization
Монетизация для самозанятых,Документация разработчиков,rustore.ru/help/developers/monetization/monetization-self-employed
Монетизация для нерезидентов,Документация разработчиков,rustore.ru/help/developers/monetization/monetization-foreign-company
Отчёт по монетизации,Документация разработчиков,rustore.ru/help/developers/monetization/monetization-report
Как создать подписку на приложение,Документация разработчиков,rustore.ru/help/developers/monetization/create-app-subscription
Как создать платный товар в приложении,Документация разработчиков,rustore.ru/help/developers/monetization/create-paid-product-in-application
Управление платежами,Документация разработчиков,rustore.ru/help/developers/monetization/manage-payments
Тестовые платежи,Документация разработчиков,rustore.ru/help/developers/monetization/sandbox/
Включение тестового режима,Документация разработчиков,rustore.ru/help/developers/monetization/sandbox/enable-test-mode
Тестирование платежей,Документация разработчиков,rustore.ru/help/developers/monetization/sandbox/testing
Отключение тестового режима,Документация разработчиков,rustore.ru/help/developers/monetization/sandbox/disable-test-mode
Тестовые банковские карты,Документация разработчиков,rustore.ru/help/developers/monetization/sandbox/test-bank-cards
Уведомления на сервер,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/
Настройка сервера для получения уведомлений,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/server-set-up
Включение отправки уведомлений,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/enable-notifications
Отключение отправки уведомлений,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/disable-notifications
Изменение адреса сервера для получения уведомлений,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/edit-server-name
Обновление ключа шифрования,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/update-key
Структура уведомления,Документация разработчиков,rustore.ru/help/developers/monetization/payment-callback/notification
Приём платежей без установки RuStore,Документация разработчиков,rustore.ru/help/developers/monetization/without-rustore-app
Реклама и продвижение,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/
Добавление кнопки «Скачайте из RuStore»,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/rustore-button
VK реклама в RuStore,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/vk-marketing
Ссылка на приложение из RuStore в группе ВКонтакте,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/vk-link
Рекомендации по фичерингу,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/featuring
Заявки на события,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/events
Встраивание подборок в сторонние ресурсы,Документация разработчиков,rustore.ru/help/developers/advertising-and-promotion/iframe
Инструменты,Документация разработчиков,rustore.ru/help/developers/tools/
RuStore Remote Config,Документация разработчиков,rustore.ru/help/developers/tools/remote-config
Быстрый старт,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/general
Принцип работы,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/how-it-works
SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk
Kotlin SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk/kotlin/6-0-0
Godot SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk/godot/1-0-0
React Native SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk/react/6-0-0
Flutter SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk/flutter/1-0-0
Unreal SDK и конфигурация приложения,Документация разработчиков,rustore.ru/help/developers/tools/remote-config/sdk/unreal/1-0-0
